"Source:","/media/paul/LINUX_MEM/Fraunhofer/GIT Repos/Master Thesis/PCB/nna-fpga-power-measurement-system/Schematics_PCB/NNA-PMS_NXP_PCB/NNA-PMS_NXP_PCB/NNA-PMS_NXP_PCB.kicad_sch"
"Date:","Fr 21 Apr 2023 11:47:55 CEST"
"Tool:","Eeschema 7.0.1-3b83917a11~172~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","266"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","AVAILABILITY","DESCRIPTION","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","MPN","PACKAGE","PARTREV","PRICE","SNAPEDA_PACKAGE_ID","STANDARD"
"1","15","C1, C2, C3, C4, C5, C6, C7, C8, C23, C24, C25, C26, C27, C28, C29","100nF","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"2","1","C9","1000pF 1kV","Device:C","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","","",""
"3","4","C10, C12, C16, C18","0.1uF","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"4","4","C11, C13, C15, C17","18pF","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"5","1","C14","10uF","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"6","4","C19, C20, C37, C38","27pF","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"7","1","C21","1uF 10V","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"8","1","C22","470pF","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"9","7","C30, C31, C32, C33, C34, C35, C36","10nF","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
"10","2","C39, C40","18pF 50V","Device:C","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","","","","",""
